K,A0_fd_MHz_mm,S0_fd_MHz_mm,A0_vg_m_s,S0_vg_m_s
4.404169884169884,4.021125485657172,10.49380071030431,3024.9199965606676,2462.777330768411
4.434903474903475,4.0507117981330625,10.518082556528686,3023.721076303569,2501.8016479560174
4.465637065637066,4.080286437631934,10.542749989490483,3022.533500883379,2541.6271047489718
4.496370656370656,4.109849514468483,10.567811045131755,3021.3571349821286,2582.2960084903752
4.527104247104248,4.139401137649106,10.593274190065783,3020.191846296453,2623.8541604269994
4.557837837837838,4.168941414899903,10.619148356364034,3019.03750557272,2666.350951260072
4.588571428571429,4.198470452698343,10.645442976999067,3017.8939866619185,2709.8393896679627
4.61930501930502,4.227988356302346,10.672168021189549,3016.761166426266,2754.3760423379717
4.65003861003861,4.257495229780116,10.699334028669877,3015.638924759667,2800.020860056393
4.680772200772201,4.28699117603962,10.726952141632507,3014.527144582331,2846.83686044754
4.711505791505791,4.316476296858323,10.755034132790197,3013.4257117676607,2894.8896339531057
4.742239382239383,4.345950692911242,10.78359242765251,3012.3345151285757,2944.246636461583
4.7729729729729735,4.3754144638003964,10.812640118747904,3011.2534464175114,2994.9762295692926
4.803706563706564,4.404867708082868,10.842190969122385,3010.182400224614,3047.146428453736
4.834440154440155,4.434310523298273,10.872259402062953,3009.1212739495095,3100.823319576797
4.865173745173745,4.463743005996256,10.902860473637647,3008.069967795076,3156.0691155102104
4.895907335907336,4.4931652517638385,10.934009824360498,3007.0283846376697,3212.939824613626
4.926640926640927,4.522577355250378,10.965723606137333,3005.9964300096326,3271.4825295689516
4.957374517374517,4.551979410194586,10.998018380683657,3004.9740120809583,3331.7322915638797
4.988108108108109,4.581371509449104,11.030910985898874,3003.9610415349307,3393.7087288514012
5.018841698841699,4.610753745005112,11.064418367341606,3002.9574315349746,3457.412355651846
5.04957528957529,4.640126208016235,11.09855737297229,3001.9630976605695,3522.8208126939135
5.0803088803088805,4.669488988821918,11.13334451087673,3000.9779578366433,3589.885168900364
5.111042471042471,4.698842176969938,11.168795671648923,3000.0019322740554,3658.5265191511717
5.141776061776062,4.728185861238612,11.204925819547732,2999.03494340257,3728.633142531966
5.172509652509652,4.757520129658012,11.24174865927915,2998.076915794343,3800.058507667738
5.203243243243244,4.786845069530662,11.27927628812609,2997.127776103094,3872.620410183328
5.233976833976834,4.81616076745157,11.317518845854499,2996.1874529960915,3946.101494416478
5.264710424710425,4.845467309327589,11.356484177050852,2995.2558770801115,4020.2513434576103
5.295444015444016,4.874764780396007,11.39617752192112,2994.3329808384588,4094.790219588205
5.326177606177606,4.904053265242672,11.436601251812233,2993.4186985713313,4169.414406610653
5.356911196911197,4.933332847819418,11.477754664537038,2992.5129662744002,4243.802963130176
5.3876447876447875,4.962603611459802,11.519633852027798,2991.6157216608117,4317.625557228457
5.418378378378379,4.991865638896988,11.56223164895138,2990.72690404646,4390.550938213593
5.44911196911197,5.021119012277203,11.60553766611767,2989.846454232844,4462.255531173432
5.47984555984556,5.050363813175357,11.64953840725251,2988.9743145285174,4532.431622712524
5.510579150579151,5.079600122608911,11.694217462565028,2988.110428635642,4600.794647305622
5.541312741312741,5.108828021051272,11.73955576808254,2987.2547415928566,4667.0891756706405
5.572046332046332,5.138047588444551,11.785531916384068,2986.4071997133724,4731.093334614532
5.602779922779923,5.167258904211736,11.832122502412222,2985.567750521237,4792.621532476391
5.633513513513514,5.196462047268218,11.879302487531678,2984.7363426901866,4851.525505869882
5.664247104247105,5.225657096032752,11.927045565821226,2983.9129259830224,-33478.522669872385
5.694980694980695,5.254844128437807,11.224274718145075,2983.097451190639,-34032.797667476116
5.725714285714286,5.2840232219393375,11.261173067146935,2982.289870075125,3750.4667180958204
5.756447876447877,5.313194453526001,11.297654893033252,2981.490135312197,3708.7655966582242
5.787181467181467,5.342357899727825,11.333737334092406,2980.6982004308375,3668.8040007970994
5.817915057915058,5.371513636624239,11.369437286917718,2979.9140197762754,3630.547562108841
5.848648648648649,5.400661739852003,11.404771217358707,2979.1375484360615,3593.9445589144016
5.87938223938224,5.429802284611806,11.439755010042438,2978.368742187624,3558.9297252430115
5.9101158301158305,5.458935345675164,11.474403853849788,2977.6075574687566,3525.4277473160764
5.940849420849421,5.4880609973904475,11.508732159847678,2976.853951312485,3493.356378350407
5.971583011583012,5.517179313688501,11.542753507708394,2976.1078813044005,3462.629139210563
6.002316602316602,5.546290368087825,11.576480616481671,2975.3693055358017,3433.1576008200645
6.033050193050193,5.575394233699303,11.609925335670846,2974.638182560331,3404.85326515045
6.0637837837837845,5.604490983230503,11.643098652807605,2973.9144713495043,3377.6290751132183
6.094517374517375,5.633580688989565,11.676010714070104,2973.1981312524294,3351.400591788348
6.125250965250966,5.662663422888698,11.708670854890928,2972.489121955936,3326.08688093978
6.155984555984556,5.6917392564472875,11.741087637920405,2971.787403444876,3301.6111510741757
